词形,词性,褒贬色彩,感情特点,近义词,
耍威风,惯用语,贬义,批评,,
耍嘴皮子,惯用语,贬义,贬责,,
衰败,动词,贬义,批评,败落/没落/衰落,
死板,形容词,贬义,批评,呆板,
死灰复燃,成语,贬义,憎恶,卷土重来,
死皮赖脸,成语,贬义,批评,死乞白赖,
死气沉沉,成语,贬义,批评,,
死有余辜,成语,贬义,憎恶,,
四分五裂,成语,贬义,批评,分崩离析/土崩瓦解,
肆虐,动词,贬义,憎恶,,
肆无忌惮,成语,贬义,贬责,为所欲为/无法无天,
肆意,副词,贬义,贬责,,
怂恿,动词,贬义,贬责,煽动/唆使,
耸人听闻,成语,贬义,贬责,骇人听闻,
颂扬,动词,褒义,赞扬,歌颂/赞扬,
虽死犹生,成语,褒义,赞扬,虽死犹荣,
随波逐流,成语,贬义,批评,,
