词语,词性种类,词义数,词义序号,情感分类,强度,极性,辅助情感分类,强度,极性,,
没味,adj,1,1,NN,3,2,NE,3,2,,
没有勇气,idiom,1,1,NN,1,2,,,,,
迷迷怔怔,idiom,1,1,NE,7,0,,,,,
渺若烟云,idiom,1,1,PH,3,0,,,,,
目不识丁,idiom,1,1,NN,3,2,,,,,
奶声奶气,idiom,1,1,PB,5,1,,,,,
胸无点墨,adj,1,1,NN,9,2,,,,,
贼头贼脑,adj,1,1,NN,9,2,,,,,
虚无缥缈,adj,1,1,NN,9,2,,,,,
药到病除,adj,1,1,PH,9,1,,,,,
一呼百诺,adj,1,1,PH,9,1,,,,,
有能力,adj,1,1,PH,9,1,,,,,
有地位,adj,1,1,PH,9,1,,,,,
性命攸关,adj,1,1,NI,9,0,,,,,
难闻,adj,1,1,NN,5,2,ND,3,2,,
闹哄哄,prep,1,1,NN,7,2,NE,5,2,,
狞恶,adj,1,1,NN,9,2,NC,3,2,,
蓬头散发,idiom,1,1,NN,7,2,,,,,
偏心眼,prep,1,1,NN,7,2,,,,,
破烂不堪,idiom,1,1,NN,3,2,,,,,
凄迷,adj,1,1,NB,9,0,,,,,
气闷,adj,1,1,NE,5,0,,,,,
欠周到,adj,1,1,NN,7,2,,,,,
轻淡,adj,1,1,PH,1,1,PB,1,1,,
穷困潦倒,idiom,1,1,NN,7,2,NB,3,2,,
缺乏绅士风度,idiom,1,1,NN,5,2,,,,,
人为财死，鸟为食亡,idiom,1,1,NN,7,2,,,,,
认死理,verb,1,1,NN,7,2,,,,,
软弱无力,idiom,1,1,NN,5,2,,,,,
丧尽天良,idiom,1,1,NN,9,2,ND,9,2,,
傻乎乎,adj,1,1,NN,3,0,,,,,
涉世不深,idiom,1,1,NN,3,0,,,,,
斯文扫地,idiom,1,1,NB,9,2,,,,,
无端端,prep,1,1,NN,9,2,,,,,
非常热心,idiom,1,1,PH,3,1,,,,,
喧噪,prep,1,1,NE,9,2,,,,,
一波三折,idiom,1,1,NE,9,2,,,,,
直愣愣,prep,1,1,NN,9,2,,,,,
竹篮子打水,idiom,1,1,NN,9,2,PH,1,2,,
冥顽不化,idiom,1,1,NN,9,2,PH,1,2,,
蚍蜉撼大树,idiom,1,1,NN,9,2,PH,1,2,,
丝毫不差,idiom,1,1,PH,9,1,,,,,
坦荡荡,adj,1,1,PA,7,0,PH,9,0,,
甘之如饴,idiom,1,1,PB,3,1,,,,,
刚直不阿,idiom,1,1,PH,5,1,,,,,
高精尖,adj,1,1,PH,7,1,,,,,
高雅简朴,idiom,1,1,PH,5,1,,,,,
耿介不阿,idiom,1,1,PH,5,1,PD,3,1,,
够意思,prep,1,1,PH,3,1,PD,1,1,,
光灿,adj,1,1,PB,1,1,,,,,
国泰民安,idiom,1,1,PH,5,1,,,,,
毫发不差,idiom,1,1,PH,3,1,,,,,
好玩儿,prep,1,1,PB,1,1,,,,,
合乎逻辑,idiom,1,1,PH,1,1,,,,,
赫赫有名,idiom,1,1,PH,7,1,,,,,
爽目,adj,1,1,PH,5,1,PB,1,1,,
数得上,prep,1,1,PH,3,1,,,,,
受听,adj,1,1,PB,3,1,,,,,
守时间,prep,1,1,PH,5,1,,,,,
事关重大,idiom,1,1,NC,1,0,,,,,
实实在在,idiom,1,1,PH,5,1,,,,,
十分重要,idiom,1,1,PG,9,0,,,,,
省俭,adj,1,1,PH,3,1,,,,,
浑身是胆,idiom,1,1,PH,3,1,,,,,
甲等,noun,1,1,PH,1,1,,,,,
声名大噪,idiom,1,1,PH,7,0,,,,,
深透,adj,1,1,PH,5,1,,,,,
深藏若虚,adj,1,1,PH,7,1,,,,,
少不得,prep,1,1,PH,3,0,,,,,
见微知著,idiom,1,1,PH,5,1,,,,,
健硕,adj,1,1,PH,3,1,,,,,
叫真儿,prep,1,1,NN,3,3,PH,1,3,,
锦簇花团,idiom,1,1,PH,5,1,,,,,
精神焕发,idiom,1,1,PH,5,1,,,,,
经验丰富,idiom,1,1,PH,5,1,,,,,
景色优美,idiom,1,1,PH,5,1,PB,5,1,,
如雷贯耳,idiom,1,1,PH,9,1,PD,3,1,,
举止文雅,idiom,1,1,PH,5,1,,,,,
绝佳,adj,1,1,PH,9,1,,,,,
俊美,adj,1,1,PH,5,1,,,,,
饶有兴致,idiom,1,1,PB,3,1,PA,3,1,,
确定不移,idiom,1,1,PG,9,0,,,,,
可信任,adj,1,1,PG,3,1,,,,,
清新淡雅,idiom,1,1,PH,7,1,,,,,
空前绝后,idiom,1,1,PH,9,1,,,,,
清亮亮,adj,1,1,PH,3,1,,,,,
轻而易举,idiom,1,1,PA,3,1,,,,,
俏皮,adj,1,1,PH,5,1,PB,3,1,,
四面楚歌,adj,1,1,NB,9,2,NI,3,2,,
老练,adj,1,1,PH,3,1,,,,,
心黑手辣,idiom,1,1,NN,9,2,NC,7,2,,
谦顺,adj,1,1,PH,7,1,NN,1,1,,
千方百计,idiom,1,1,PH,7,2,NN,5,2,,
气概不凡,idiom,1,1,PH,9,1,,,,,
有害,prep,1,1,NC,9,2,,,,,
与虎谋皮,idiom,1,1,NN,9,2,,,,,
贼去关门,idiom,1,1,NN,9,2,ND,3,2,,
灵透,adj,1,1,PH,5,1,,,,,
完好如初,idiom,1,1,PH,3,1,,,,,
万不得已,idiom,1,1,NB,7,2,NJ,9,2,,
无比幸福,idiom,1,1,PA,9,1,PB,3,1,,
匀和,prep,1,1,PH,3,1,,,,,
有眉目,prep,1,1,PA,5,1,PE,3,1,,
优等,prep,1,1,PH,9,1,,,,,
学识渊博,idiom,1,1,PH,9,1,PD,3,1,,
显耀,prep,1,1,PH,9,1,,,,,
无人不晓,idiom,1,1,PH,9,1,,,,,
无偿,prep,1,1,PH,9,1,,,,,
铁打,prep,1,1,PH,9,1,,,,,
落拓不羁,idiom,1,1,NN,5,2,,,,,
弥足珍贵,adj,1,1,PB,3,1,PH,3,1,,
明理,adj,1,1,PH,5,1,,,,,
目光如炬,idiom,1,1,PH,5,1,,,,,
蔫不出溜,idiom,1,1,NN,3,2,,,,,
判断正确,idiom,1,1,PH,3,1,,,,,
哀感顽艳,idiom,1,1,PH,5,1,,,,,
暧昧不明,idiom,1,1,NN,3,2,,,,,
父母国,idiom,1,1,PH,5,1,PE,9,1,,
铁打江山,idiom,1,1,PH,7,1,PE,9,1,,
嫠不恤纬,idiom,1,1,PH,9,1,PD,5,1,,
国尔忘家,idiom,1,1,PH,9,1,PD,5,1,,
捐生殉国,idiom,1,1,PH,9,1,PD,5,1,,
以身许国,idiom,1,1,PH,9,1,PD,5,1,,
怀柔天下,idiom,1,1,PH,9,1,PD,5,1,,
束杖理民,idiom,1,1,PH,9,1,PD,5,1,,
海水群飞,idiom,1,1,ND,9,2,NN,3,2,,
尸位误国,idiom,1,1,NN,7,2,,,,,
以其昏昏，使人昭昭,idiom,1,1,NN,5,2,,,,,
卖国求荣,idiom,1,1,NN,9,2,,,,,
破国亡宗,idiom,1,1,NB,9,0,,,,,
栋折榱崩,idiom,1,1,NB,7,2,,,,,
救亡图存,idiom,1,1,PH,7,1,,,,,
潮乎乎,adj,1,1,NE,5,2,,,,,
好奇,adj,1,1,PC,3,0,,,,,
欢畅,adj,1,1,PA,5,1,PE,3,1,,
舒心,adj,1,1,PA,3,1,PE,5,1,,
惊喜,adj,1,1,PA,7,1,PC,5,1,,
豁朗,adj,1,1,PA,3,1,,,,,
香泽,noun,1,1,PH,5,1,PB,5,1,,
大喜过望,adj,1,1,PA,9,1,,,,,
欢天喜地,adj,1,1,PA,7,1,,,,,
乐呵呵,adj,1,1,PA,5,1,,,,,
喜冲冲,adj,1,1,PA,7,1,,,,,
欣喜若狂,adj,1,1,PA,9,1,,,,,
尽情,adj,1,1,PA,5,1,,,,,
心满意足,adj,1,1,PA,3,1,,,,,
如愿,adj,1,1,PA,3,1,,,,,
感奋,adj,1,1,PA,3,1,,,,,
乐不思蜀,adj,1,1,PA,5,0,NN,3,0,,
陶然,adj,1,1,PA,3,1,,,,,
知足常乐,adj,1,1,PA,5,1,PE,1,1,,
好客,adj,1,1,PH,3,1,,,,,
惊喜欲狂,adj,1,1,PA,9,1,PC,9,1,,
喜笑盈腮,adj,1,1,PA,5,1,,,,,
尽欢而散,idiom,1,1,PA,5,1,,,,,
普天同庆,idiom,1,1,PA,7,1,,,,,
可心如意,adj,1,1,PA,3,1,PE,1,1,,
酒酣耳热,adj,1,1,PA,5,1,,,,,
解颐,verb,1,1,PA,5,0,,,,,
含笑,verb,1,1,PA,3,0,,,,,
狂笑,verb,1,1,PA,7,0,,,,,
笑颜,noun,1,1,PA,5,1,,,,,
热情洋溢,adj,1,1,PA,5,1,,,,,
感激涕零,idiom,1,1,PD,3,1,,,,,
范进中举－喜疯了,idiom,1,1,PA,9,0,NN,3,0,,
甜瓜地里长甘蔗－从头甜到脚,idiom,1,1,PA,5,0,,,,,
滑稽,adj,1,1,NN,3,0,PA,3,0,,
燕雀相贺,adj,1,1,PA,5,1,,,,,
飞扬,verb,1,1,PA,3,1,,,,,
从轻,adv,1,1,PA,3,0,,,,,
爱悦,verb,1,1,PA,5,1,PB,5,1,,
可心,adj,1,1,PB,5,1,,,,,
珍视,verb,1,1,PB,5,1,,,,,
钟爱,verb,1,1,PB,7,1,,,,,
炽烈,adj,1,1,PB,7,0,,,,,
慈爱,adj,1,1,PH,5,1,PB,5,1,,
疼爱,verb,1,1,PB,5,0,,,,,
宠爱,verb,1,1,NN,5,0,PB,5,0,,
把玩,verb,1,1,PB,3,0,,,,,
心醉,verb,1,1,PB,9,0,,,,,
痴迷,verb,1,1,PB,7,0,,,,,
看中,verb,1,1,PB,5,0,,,,,
嗜好,noun,1,1,PB,9,0,,,,,
偏好,noun,1,1,PB,5,0,,,,,
相恋,verb,1,1,PB,5,0,,,,,
陶冶,verb,1,1,PB,3,1,,,,,
由衷,adv,1,1,PB,5,1,,,,,
友谊,noun,1,1,PB,5,1,,,,,
娇柔,adj,1,1,PB,3,1,PH,1,1,,
争气,adj,1,1,PH,5,1,,,,,
虎不食子,idiom,1,1,PB,1,0,,,,,
束身自好,idiom,1,1,PB,1,1,PH,3,1,,
呼吸相通,idiom,1,1,PB,7,1,,,,,
形影不离,idiom,1,1,PB,7,1,,,,,
温暖,adj,1,1,PB,5,1,,,,,
千里鹅毛,idiom,1,1,PB,7,1,,,,,
息息相关,idiom,1,1,PB,5,1,,,,,
心驰神往,idiom,1,1,PK,7,0,,,,,
娃娃拿到新玩具－爱不释手,idiom,1,1,PB,7,0,,,,,
绽放,verb,1,1,PB,1,1,,,,,
益友,noun,1,1,PB,3,1,PH,5,1,,
千古不灭,adj,1,1,PH,7,1,PB,1,1,,
暖融融,adj,1,1,PH,1,1,,,,,
脉脉含情,verb,1,1,PB,5,0,,,,,
心连心,adj,1,1,PB,5,0,,,,,
有过之而无不及,idiom,1,1,PH,5,1,,,,,
宝爱,verb,1,1,PB,7,1,,,,,
碧绿,adj,1,1,PH,3,1,PB,3,1,,
拥护,verb,1,1,PD,7,1,,,,,
敬重,verb,1,1,PD,5,1,,,,,
不敢当,adj,1,1,NI,3,0,,,,,
惠顾,verb,1,1,PD,3,0,,,,,
缅怀,verb,1,1,PF,7,0,,,,,
仰慕,verb,1,1,PD,7,0,,,,,
伟绩,noun,1,1,PH,9,1,,,,,
诱导,verb,1,1,NN,3,2,,,,,
心悦诚服,adj,1,1,PD,3,1,,,,,
马首是瞻,idiom,1,1,PD,3,0,,,,,
居高不下,idiom,1,1,NE,1,2,,,,,
美意延年,adj,1,1,PH,3,1,,,,,
福寿双全,idiom,1,1,PK,3,1,PD,3,1,,
福禄双全,idiom,1,1,PK,3,1,PD,3,1,,
先行者,noun,1,1,PD,5,1,PH,5,1,,
依顺,verb,1,1,PD,3,1,PG,3,1,,
亮节高风,noun,1,1,PD,5,1,PH,5,1,,
拜候,verb,1,1,PD,5,1,,,,,
拜望,verb,1,1,PD,5,1,,,,,
心静,adj,1,1,PE,3,0,,,,,
宽心,verb,1,1,PE,1,0,,,,,
逍遥,adj,1,1,PA,5,0,,,,,
和蔼可亲,adj,1,1,PE,1,1,PH,5,1,,
和易,adj,1,1,PH,3,1,PE,1,1,,
独善其身,prep,1,1,PE,3,3,NN,1,3,,
仰不愧天,adj,1,1,PE,7,1,,,,,
若无其事,idiom,1,1,PE,3,1,,,,,
一方平安,noun,1,1,PE,5,1,,,,,
安居,adj,1,1,PE,5,1,PA,5,1,,
怀念,verb,1,1,PF,3,0,,,,,
驰念,verb,1,1,PF,1,0,,,,,
牵肠挂肚,idiom,1,1,PF,9,0,,,,,
翘足引领,idiom,1,1,PF,7,0,,,,,
白云亲舍,idiom,1,1,PF,7,0,,,,,
信从,verb,1,1,PG,3,0,,,,,
真实,adj,1,1,PG,3,1,PH,5,1,,
无可非议,idiom,1,1,PG,3,0,,,,,
无可争议,idiom,1,1,PG,9,0,,,,,
昂扬,adj,1,1,PH,5,1,PA,3,1,,
抱负,noun,1,1,PK,5,1,,,,,
博学多才,adj,1,1,PH,7,1,,,,,
称赞,verb,1,1,PH,5,1,,,,,
崇高,adj,1,1,PH,7,1,PD,7,1,,
豪壮,adj,1,1,PH,7,1,,,,,
干劲,noun,1,1,PH,5,1,,,,,
豪情,noun,1,1,PH,7,1,,,,,
持之以恒,adj,1,1,PH,5,1,,,,,
光彩,noun,1,1,PH,5,1,PB,7,1,,
机警,adj,1,1,PH,5,1,,,,,
简洁,adj,1,1,PH,3,1,,,,,
兢兢业业,adj,1,1,PH,7,1,,,,,
闯将,noun,1,1,PH,3,1,,,,,
大无畏,adj,1,1,PH,7,1,,,,,
典雅,adj,1,1,PH,5,1,,,,,
废寝忘食,idiom,1,1,PH,7,1,PD,1,1,,
富强,adj,1,1,PH,5,1,,,,,
刻苦,adj,1,1,PH,5,1,,,,,
恳切,adj,1,1,PH,5,1,PG,3,1,,
雷厉风行,adj,1,1,PH,7,1,,,,,
玲珑剔透,adj,1,1,PH,7,1,PB,3,1,,
茂盛,adj,1,1,PH,5,1,,,,,
温情,noun,1,1,PB,5,1,PE,1,1,,
焕发,adj,1,1,PH,5,1,,,,,
好整以暇,adj,1,1,PH,9,1,PE,5,1,,
沉毅,adj,1,1,PH,5,1,,,,,
秀丽,adj,1,1,PH,5,1,PB,3,1,,
华美,adj,1,1,PH,5,1,,,,,
矜持,adj,1,1,NG,5,1,,,,,
好玩,adj,1,1,PA,7,1,,,,,
鹏程万里,idiom,1,1,PK,5,1,,,,,
气冲霄汉,idiom,1,1,PH,7,1,PD,3,1,,
谦虚,adj,1,1,PH,5,1,,,,,
勤快,adj,1,1,PH,5,1,,,,,
全心全意,adv,1,1,PH,7,1,,,,,
任人唯贤,idiom,1,1,PH,5,1,,,,,
舍生忘死,adj,1,1,PH,7,1,PD,3,1,,
恩重如山,adj,1,1,PG,7,1,PD,3,1,,
目不转睛,adj,1,1,PB,7,1,,,,,
尊老爱幼,adj,1,1,PH,5,1,PD,3,1,,
孝子贤孙,noun,1,1,PH,5,1,PD,3,1,,
视死如归,adj,1,1,PH,7,1,PD,3,1,,
丸泥封关,idiom,1,1,PE,5,0,,,,,
蔚然,adj,1,1,PH,3,1,,,,,
无敌,adj,1,1,PH,9,1,,,,,
海涵,idiom,1,1,PH,5,1,,,,,
雅观,adj,1,1,PH,5,1,,,,,
异彩,noun,1,1,PH,5,1,,,,,
用功,adj,1,1,PH,5,1,,,,,
赞佩,verb,1,1,PH,5,1,PD,3,1,,
仗义执言,idiom,1,1,PH,5,1,PD,3,1,,
忠厚,adj,1,1,PH,5,1,,,,,
贤德,noun,1,1,PH,5,1,PD,3,1,,
贤惠,adj,1,1,PH,5,1,PD,1,1,,
好心,noun,1,1,PH,5,1,,,,,
磊落,adj,1,1,PH,5,1,,,,,
爽气,adj,1,1,PH,5,1,,,,,
圣洁,adj,1,1,PH,5,1,,,,,
忠义,adj,1,1,PH,7,1,,,,,
厚道,adj,1,1,PH,5,1,,,,,
浑朴,adj,1,1,PH,5,1,,,,,
宽厚,adj,1,1,PH,5,1,,,,,
好说话,adj,1,1,PH,5,1,,,,,
英勇,adj,1,1,PH,5,1,,,,,
壮士,noun,1,1,PH,3,1,,,,,
宽宏,adj,1,1,PH,5,1,,,,,
傲骨,noun,1,1,PH,5,1,PD,3,1,,
英气,noun,1,1,PH,5,1,,,,,
深挚,adj,1,1,PH,5,1,,,,,
披胆,noun,1,1,PH,5,1,,,,,
中允,adj,1,1,PH,5,1,,,,,
圆通,adj,1,1,PH,5,1,,,,,
雄威,adj,1,1,PH,5,1,,,,,
安分守己,adj,1,1,PH,5,1,,,,,
俭省,adj,1,1,PH,5,1,,,,,
端重,adj,1,1,PH,5,1,,,,,
正统,adj,1,1,PH,3,1,,,,,
洪亮,adj,1,1,PH,3,1,,,,,
甘美,adj,1,1,PH,5,1,,,,,
坚韧,adj,1,1,PH,5,1,,,,,
坚定不移,adj,1,1,PH,5,1,,,,,
救灾恤邻,idiom,1,1,PH,7,1,PD,3,1,,
团队精神,noun,1,1,PH,5,1,,,,,
有生气,adj,1,1,PH,3,1,,,,,
严格,adj,1,1,PH,3,0,,,,,
情面难却,idiom,1,1,PH,5,1,NG,3,1,,
真情实意,noun,1,1,PH,5,1,,,,,
千恩万谢,idiom,1,1,PH,5,1,PD,3,1,,
警戒,noun,1,1,NC,3,0,,,,,
扼要,adj,1,1,PH,1,0,,,,,
光滑,adj,1,1,PH,3,1,,,,,
宽敞,adj,1,1,PH,3,1,,,,,
浓密,adj,1,1,PH,3,0,,,,,
切实,adj,1,1,PH,5,1,,,,,
柔软,adj,1,1,PH,5,1,,,,,
显眼,adj,1,1,PH,5,0,,,,,
兴旺,adj,1,1,PH,5,1,,,,,
湛蓝,adj,1,1,PH,1,1,,,,,
澄澈,adj,1,1,PH,3,1,,,,,
从紧,adj,1,1,PH,1,0,,,,,
清丽,adj,1,1,PH,5,1,,,,,
矫捷,adj,1,1,PH,5,1,,,,,
悠悠,adj,1,1,PE,5,0,,,,,
英杰,noun,1,1,PH,7,1,PD,3,1,,
群英,noun,1,1,PH,5,1,PD,3,1,,
公正无私,adj,1,1,PH,5,1,PD,3,1,,
枵腹从公,idiom,1,1,PH,5,1,PD,3,1,,
仗义疏财,verb,1,1,PH,7,1,PD,3,1,,
帮困,verb,1,1,PH,3,0,,,,,
解救,verb,1,1,PH,5,1,,,,,
救难,verb,1,1,PH,5,1,,,,,
沁入心扉,adj,1,1,PH,3,1,PE,1,1,,
叹赏,verb,1,1,PH,5,1,,,,,
时髦,adj,1,1,PH,5,1,PB,1,1,,
清秀,adj,1,1,PH,5,1,PB,1,1,,
亮丽,adj,1,1,PH,5,1,,,,,
光彩夺目,adj,1,1,PH,5,1,,,,,
多姿,adj,1,1,PH,5,1,,,,,
清廉,adj,1,1,PH,5,1,PD,1,1,,
清正,adj,1,1,PH,5,1,PD,1,1,,
硬骨头,noun,1,1,PH,3,1,,,,,
涅而不缁,adj,1,1,PH,7,1,PD,3,1,,
雅俗,adj,1,1,PH,5,1,,,,,
贤哲,noun,1,1,PH,7,1,,,,,
玉洁冰清,adj,1,1,PH,5,1,PD,3,1,,
振振有词,idiom,1,1,NN,5,2,,,,,
固若金汤,adj,1,1,PH,5,1,,,,,
国富民安,adj,1,1,PH,5,1,,,,,
准确无误,adj,1,1,PH,5,1,,,,,
凌厉,adj,1,1,PH,5,0,,,,,
撼天动地,adj,1,1,PC,7,0,,,,,
千古不朽,adj,1,1,PH,9,1,,,,,
极负盛誉,adj,1,1,PH,7,1,PD,3,1,,
抢手,adj,1,1,PH,1,1,,,,,
质优价廉,adj,1,1,PH,7,1,PB,3,1,,
道地,adj,1,1,PH,3,1,,,,,
完美无缺,adj,1,1,PH,9,1,,,,,
俱佳,adj,1,1,PH,3,1,,,,,
超群绝伦,adj,1,1,PH,9,1,,,,,
天下无双,adj,1,1,PH,9,1,,,,,
别具一格,adj,1,1,PH,7,1,,,,,
一是一,adj,1,1,PH,3,1,,,,,
有目共赏,adj,1,1,PH,5,1,,,,,
谐美,adj,1,1,PH,5,1,,,,,
匠心独具,adj,1,1,PH,7,1,,,,,
琅琅上口,adj,1,1,PH,3,1,,,,,
再生父母,noun,1,1,PH,7,1,PD,3,1,,
昂然,adj,1,1,PH,5,1,PA,5,1,,
板正,adj,1,1,PH,3,1,,,,,
褒誉,noun,1,1,PH,7,1,,,,,
宝山,noun,1,1,PH,7,1,,,,,
爆满,adj,1,1,PH,3,1,,,,,
愤愤不平,adj,1,1,NA,5,0,,,,,
啧有烦言,idiom,1,1,NN,5,2,NE,3,2,,
暴怒,adj,1,1,NA,9,2,,,,,
愤怒,adj,1,1,NA,5,0,,,,,
恼火,adj,1,1,NA,5,0,,,,,
气冲冲,adj,1,1,NA,5,0,,,,,
义愤,adj,1,1,NA,7,0,,,,,
挂气,adj,1,1,NA,1,0,,,,,
愤愤,adj,1,1,NA,5,2,NN,5,2,,
私愤,noun,1,1,NA,5,0,,,,,
赌气,verb,1,1,NA,5,2,,,,,
横眉,noun,1,1,NA,5,0,,,,,
一刀两段,adj,1,1,NA,5,2,ND,5,2,,
一气一个死,idiom,1,1,NA,9,0,,,,,
火箭筒射击－两头冒火,idiom,1,1,NA,5,0,,,,,
怫然作色,adj,1,1,NA,3,2,,,,,
怒气冲冲,adj,1,1,NA,5,2,,,,,
义愤填膺,adj,1,1,NA,5,2,,,,,
上等轮胎－有气难出,idiom,1,1,NA,3,2,NE,1,2,,
誓不两立,idiom,1,1,ND,7,0,NA,3,0,,
伤心,adj,1,1,NB,5,0,,,,,
悲切,adj,1,1,NB,5,0,,,,,
溃不成军,adj,1,1,NI,7,2,,,,,
哀鸣,verb,1,1,NB,9,0,,,,,
苦涩,adj,1,1,NB,1,2,NE,3,2,,
痛诉,verb,1,1,NN,9,0,,,,,
黯然销魂,adj,1,1,NB,9,0,,,,,
抱委屈,adj,1,1,NB,1,0,,,,,
肠断,adj,1,1,NB,9,0,,,,,
忧悒,adj,1,1,NB,3,2,NE,3,2,,
自卑,adj,1,1,NJ,3,2,NN,3,2,,
啼泣,verb,1,1,NB,5,0,,,,,
悲泣,adj,1,1,NB,5,0,,,,,
号哭,verb,1,1,NB,9,0,,,,,
涕泗滂沱,adj,1,1,NB,5,0,,,,,
芝焚蕙叹,idiom,1,1,NB,5,1,,,,,
苦难,noun,1,1,NB,5,0,,,,,
生不逢辰,idiom,1,1,NB,3,0,,,,,
尽付东流,idiom,1,1,NB,5,2,,,,,
依依惜别,idiom,1,1,NB,3,0,,,,,
分香卖履,idiom,1,1,NB,7,0,,,,,
孤立,adj,1,1,NB,1,0,,,,,
痛心入骨,adj,1,1,NB,9,0,NA,3,0,,
悼心失图,adj,1,1,NB,9,0,,,,,
罐子里头点蜡烛－暗中流泪,idiom,1,1,NB,5,0,,,,,
吃了黄连对人说－诉苦,idiom,1,1,NB,1,0,,,,,
光身子钻刺蓬－有刺又痛,idiom,1,1,NB,5,0,,,,,
疏远,adj,1,1,NB,3,0,,,,,
冤沉海底,idiom,1,1,NB,5,0,NE,3,0,,
寂廖,adj,1,1,NB,5,0,,,,,
败谢,verb,1,1,NB,5,0,NJ,1,0,,
惨笑,verb,1,1,NB,7,0,,,,,
六神无主,idiom,1,1,NC,7,0,NI,3,0,,
后怕,adj,1,1,NC,5,0,NI,3,0,,
恐惧,adj,1,1,NC,5,0,,,,,
谈虎色变,idiom,1,1,NC,5,0,,,,,
闻风丧胆,idiom,1,1,NC,9,0,,,,,
畏缩,adj,1,1,NC,3,0,,,,,
亡魂丧胆,idiom,1,1,NC,9,0,NI,3,0,,
慑服,adj,1,1,NC,1,2,,,,,
打呼噜听见放炮－吓人一跳,idiom,1,1,NC,3,0,PC,1,0,,
血淋淋,adj,1,1,NC,3,0,NI,1,0,,
惊愕失色,idiom,1,1,NC,5,0,,,,,
惊心惮胆,idiom,1,1,NC,9,0,,,,,
人人自危,idiom,1,1,NC,3,2,,,,,
任重道远,idiom,1,1,PH,5,1,PD,3,1,,
跋扈,adj,1,1,ND,5,2,,,,,
暴行,noun,1,1,ND,7,2,,,,,
草菅人命,idiom,1,1,NN,9,2,ND,7,2,,
丑陋,adj,1,1,NN,5,2,,,,,
勾引,verb,1,1,ND,1,2,,,,,
含沙射影,idiom,1,1,ND,1,2,NN,1,2,,
毁谤,verb,1,1,ND,3,2,,,,,
大肆,adv,1,1,NN,3,2,ND,1,2,,
毒辣,adj,1,1,ND,9,2,,,,,
反动,adj,1,1,NN,5,2,,,,,
奉承,verb,1,1,ND,3,2,,,,,
狼子野心,idiom,1,1,ND,3,2,,,,,
流氓,noun,1,1,ND,3,2,,,,,
反感,adj,1,1,ND,3,2,NA,1,2,,
恶心,adj,1,1,ND,5,2,,,,,
痛恨,verb,1,1,ND,9,0,,,,,
嚣张,adj,1,1,ND,7,2,,,,,
欺负,verb,1,1,ND,5,2,NN,5,2,,
痛心疾首,idiom,1,1,NB,9,0,,,,,
怨毒,noun,1,1,ND,5,0,,,,,
青面獠牙,idiom,1,1,ND,7,2,,,,,
人面兽心,idiom,1,1,NN,9,2,ND,9,2,,
杀戮,verb,1,1,ND,5,2,NN,5,2,,
滔天,adj,1,1,ND,7,2,,,,,
睚眦,verb,1,1,NA,5,0,,,,,
歪缠,verb,1,1,NN,3,2,,,,,
妄自尊大,idiom,1,1,NN,3,2,ND,3,2,,
文侩,noun,1,1,NN,3,2,,,,,
无所不用其极,idiom,1,1,NN,7,2,ND,9,2,,
扬言,verb,1,1,ND,5,2,NN,3,2,,
张牙舞爪,idiom,1,1,NN,7,2,,,,,
罪恶滔天,idiom,1,1,NN,9,2,ND,9,2,,
小看,verb,1,1,NN,1,2,,,,,
视如粪土,idiom,1,1,ND,9,2,,,,,
残毒,adj,1,1,NN,5,2,,,,,
可气,adj,1,1,NA,3,2,,,,,
贪吃,adj,1,1,NN,3,2,,,,,
凌辱,verb,1,1,NN,7,2,,,,,
脸皮厚,adj,1,1,NN,1,2,,,,,
恶劣,adj,1,1,ND,7,2,,,,,
坟头上的乌鸦－人人憎,idiom,1,1,ND,5,2,,,,,
深仇大恨,noun,1,1,ND,9,2,,,,,
嫉恶如仇,idiom,1,1,ND,7,2,,,,,
耸人听闻,idiom,1,1,NN,3,2,,,,,
狼狈万状,adj,1,1,NG,3,2,,,,,
视如敝屣,idiom,1,1,ND,7,2,,,,,
狗崽子,noun,1,1,ND,7,2,NN,5,2,,
姘头,noun,1,1,ND,5,2,NN,5,2,,
寒酸,adj,1,1,NB,3,0,,,,,
坏东西,noun,1,1,NN,5,2,,,,,
地痞,noun,1,1,ND,5,2,,,,,
不逞之徒,noun,1,1,ND,5,2,,,,,
雌老虎,noun,1,1,ND,5,2,NN,3,2,,
长舌妇,noun,1,1,ND,5,2,NN,5,2,,
又哭又闹,idiom,1,1,NE,3,2,,,,,
油乎乎,adj,1,1,NN,3,0,,,,,
拗口,adj,1,1,NN,1,2,,,,,
残虐,adj,1,1,ND,5,2,NN,1,2,,
悲愁,noun,1,1,NB,5,2,NE,5,2,,
沉郁,adj,1,1,NE,3,0,,,,,
担忧,adj,1,1,NC,1,0,,,,,
糟心,adj,1,1,NE,3,2,,,,,
异味,noun,1,1,NN,1,2,,,,,
委靡,adj,1,1,NE,1,2,,,,,
愁眉锁眼,idiom,1,1,NE,3,0,,,,,
不顺心,adj,1,1,NE,3,0,,,,,
扫兴,adj,1,1,NE,1,2,,,,,
忍耐,verb,1,1,NE,5,0,,,,,
絮烦,adj,1,1,NN,1,2,,,,,
懊悔,adj,1,1,NH,5,0,,,,,
难堪,adj,1,1,NE,1,0,,,,,
窝气,adj,1,1,NE,3,0,,,,,
烦忧,adj,1,1,NE,1,0,,,,,
消极,adj,1,1,NE,5,2,NN,3,2,,
