词语,词性种类,词义数,词义序号,情感分类,强度,极性,辅助情感分类,强度,极性,,
有口无心,idiom,1,1,NN,9,2,,,,,
有眼力,prep,1,1,PH,9,1,PB,3,1,,
不干不净,idiom,1,1,NN,3,2,,,,,
异彩纷呈,idiom,1,1,PH,9,1,PA,7,1,,
学富五车,idiom,1,1,PH,9,1,,,,,
心灵美,prep,1,1,PH,9,1,,,,,
香馥馥,idiom,1,1,PH,9,1,PA,9,1,,
味道好,prep,1,1,PH,9,1,PA,7,1,,
手脚不干净,idiom,1,1,NN,9,2,ND,9,2,,
索然寡味,idiom,1,1,NN,9,2,NK,5,2,,
死板板,adj,1,1,NN,9,2,,,,,
松垮垮,adj,1,1,NN,9,2,ND,5,2,,
危在旦夕,idiom,1,1,NC,9,2,,,,,
无纪律,adj,1,1,NN,9,2,ND,7,2,,
无实质,adj,1,1,NN,9,2,,,,,
险峭,verb,1,1,NN,1,2,NC,9,2,,
不明不白,idiom,1,1,NE,5,2,NN,3,2,,
不清不白,idiom,1,1,NN,7,2,,,,,
不透明,adj,1,1,NN,3,2,,,,,
不雅,adj,1,1,NN,3,2,,,,,
不足为外人道,idiom,1,1,NN,3,2,,,,,
有勇气,adj,1,1,PH,9,1,PB,1,1,,
玄妙,adj,1,1,NN,9,2,,,,,
长长短短,idiom,1,1,NN,3,0,,,,,
罪恶多端,idiom,1,1,ND,9,2,,,,,
皱巴,prep,1,1,ND,9,2,,,,,
朝不谋夕,idiom,1,1,NB,5,0,,,,,
逞性子,verb,1,1,NN,7,2,,,,,
臭名昭彰,idiom,1,1,NN,9,2,,,,,
寸草不生,idiom,1,1,NB,1,0,,,,,
哀梨蒸食,idiom,1,1,NN,7,2,,,,,
刀光剑影,idiom,1,1,NC,3,0,,,,,
度量小,prep,1,1,NN,7,2,ND,3,2,,
翻云覆雨,idiom,1,1,NN,5,2,,,,,
风刀霜剑,idiom,1,1,NB,3,0,,,,,
腐化堕落,idiom,1,1,NN,9,2,ND,5,2,,
高不成低不就,idiom,1,1,NN,3,2,,,,,
孤单单,adj,1,1,NB,5,2,,,,,
寡断,adj,1,1,NN,7,2,,,,,
乖剌,adj,1,1,NN,7,2,,,,,
含糊不清,idiom,1,1,NN,5,2,NE,3,2,,
毫不客气,idiom,1,1,NN,5,2,,,,,
黑森森,adj,1,1,NC,5,0,NE,3,2,,
胡子拉碴,idiom,1,1,NN,3,2,,,,,
荒诞派,noun,1,1,NN,7,2,,,,,
荒淫无度,idiom,1,1,NN,9,2,,,,,
灰蒙蒙,adj,1,1,NE,1,0,,,,,
智能型,noun,1,1,PH,5,1,,,,,
晦暝,adj,1,1,NC,7,2,NN,3,2,,
谆谆,adj,1,1,PD,5,1,,,,,
昏黑,adj,1,1,NE,3,2,,,,,
